ステータス,FC実施年月日,性別,年代,CEFR,在住国,識別用のラベル,流入経路,集客経路
入会,2022-02-23,女性,61以上,B1,日本,不明,不明,バイリンガール
失注,2022-02-24,男性,46〜60,A2,日本,不明,不明,検索
入会,2022-02-24,女性,61以上,B1,日本,不明,不明,バイリンガール
失注,2022-02-24,男性,46〜60,A1,日本,不明,不明,検索
入会,2022-02-26,女性,26〜30,A2,日本,不明,不明,バイリンガール
失注,2022-02-26,男性,18〜25,A1,日本,不明,不明,バイリンガール
入会,2022-02-27,女性,46〜60,A1,日本,不明,不明,バイリンガール
失注,2022-02-27,男性,46〜60,B2,日本,不明,不明,A8 本気の英会話
入会,2022-02-28,男性,31〜35,A2,日本,不明,不明,A8 その他
入会,2022-02-28,女性,31〜35,B1,日本,不明,不明,バイリンガール
入会,2022-02-28,女性,46〜60,A1,日本,不明,不明,バイリンガール
失注,2022-02-28,女性,31〜35,B2,日本,不明,不明,バイリンガール
NS失注,2022-03-01,男性,不明,不明,不明,不明,不明,不明
入会,2022-03-02,女性,31〜35,B1,日本,不明,不明,バイリンガール
失注,2022-03-02,女性,46〜60,B1,日本,不明,不明,バイリンガール
入会,2022-03-04,女性,46〜60,A2,日本,不明,不明,受講生紹介
入会,2022-03-04,女性,36〜45,B1,国外,不明,不明,バイリンガール
入会,2022-03-04,男性,46〜60,B1,日本,不明,不明,その他
失注,2022-03-04,女性,36〜45,B2,日本,不明,不明,検索
失注,2022-03-06,女性,46〜60,A2,日本,不明,不明,検索
失注,2022-03-06,女性,36〜45,B1,日本,不明,不明,比較サイト
失注,2022-03-06,女性,31〜35,B2,日本,不明,不明,バイリンガール
失注,2022-03-07,男性,36〜45,B1,日本,不明,不明,A8 忍者英会話
入会,2022-03-08,女性,46〜60,A1,日本,不明,不明,バイリンガール
入会,2022-03-10,女性,36〜45,A2,日本,不明,不明,検索
失注,2022-03-10,女性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2022-03-11,男性,31〜35,A1,日本,不明,不明,検索
入会,2022-03-11,女性,18〜25,A2,日本,不明,不明,バイリンガール
入会,2022-03-12,男性,46〜60,B2,国外,不明,不明,A8 本気の英会話
失注,2022-03-13,男性,36〜45,A1,日本,不明,不明,検索
失注,2022-03-13,女性,46〜60,B1,日本,不明,不明,受講生紹介
入会,2022-03-14,男性,46〜60,B1,日本,不明,不明,受講生紹介
入会,2022-03-14,女性,36〜45,B1,国外,不明,不明,バイリンガール
NS失注,2022-03-14,女性,不明,不明,不明,不明,不明,不明
失注,2022-03-16,女性,46〜60,B1,日本,不明,不明,バイリンガール
失注,2022-03-17,女性,31〜35,B2,日本,不明,不明,バイリンガール
入会,2022-03-18,男性,46〜60,A2,日本,不明,不明,バイリンガール
NS失注,2022-03-19,男性,不明,不明,不明,不明,不明,不明
失注,2022-03-19,男性,46〜60,B1,日本,不明,不明,検索
入会,2022-03-22,女性,36〜45,B1,国外,不明,不明,バイリンガール
入会,2022-03-22,女性,31〜35,B2,日本,不明,不明,バイリンガール
失注,2022-03-24,女性,46〜60,B2,日本,不明,不明,バイリンガール
入会,2022-03-24,女性,36〜45,A2,日本,不明,不明,A8 本気の英会話
失注,2022-03-24,女性,31〜35,B2,日本,不明,不明,バイリンガール
失注,2022-03-24,女性,46〜60,B1,日本,不明,不明,検索
入会,2022-03-26,女性,26〜30,A2,日本,不明,不明,比較サイト
失注,2022-03-26,男性,26〜30,B2,日本,不明,不明,バイリンガール
失注,2022-03-27,男性,36〜45,A1,日本,不明,不明,検索
入会,2022-03-29,女性,31〜35,B2,不明,不明,不明,バイリンガール
失注,2022-03-30,男性,31〜35,B1,日本,不明,不明,検索
入会,2022-03-30,女性,31〜35,A2,日本,不明,不明,受講生紹介
入会,2022-03-31,女性,61以上,B1,国外,不明,不明,バイリンガール
失注,2022-04-01,男性,36〜45,B1,日本,不明,不明,A8 忍者英会話
入会,2022-04-03,男性,18〜25,A2,日本,不明,不明,検索
失注,2022-04-04,女性,36〜45,B2,国外,不明,不明,Instagram
失注,2022-04-06,女性,36〜45,A2,日本,不明,不明,検索
失注,2022-04-06,男性,36〜45,不明,日本,不明,不明,比較サイト
入会,2022-04-06,女性,31〜35,A2,国外,不明,不明,A8 その他
NS失注,2022-04-06,女性,不明,TOEIC,不明,不明,不明,不明
失注,2022-04-09,女性,18〜25,B1,国外,不明,不明,A8 ミツカル英会話
失注,2022-04-09,女性,36〜45,B2,日本,不明,不明,検索
失注,2022-04-09,男性,26〜30,B1,日本,不明,不明,ブログ紹介
失注,2022-04-10,女性,36〜45,B1,日本,不明,不明,Instagram
入会,2022-04-10,女性,31〜35,A2,日本,不明,不明,バイリンガール
入会,2022-04-10,女性,46〜60,A2,日本,不明,不明,A8 その他
失注,2022-04-10,男性,31〜35,A2,国外,不明,不明,A8 忍者英会話
失注,2022-04-11,女性,36〜45,B1,日本,不明,不明,バイリンガール
入会,2022-04-12,女性,26〜30,B1,日本,不明,不明,バイリンガール
入会,2022-04-12,女性,31〜35,B2,日本,不明,不明,A8 その他
失注,2022-04-12,女性,36〜45,B1,日本,不明,不明,バイリンガール
NS失注,2022-04-12,女性,不明,不明,不明,不明,不明,不明
入会,2022-04-13,男性,26〜30,A1,日本,不明,不明,バイリンガール
失注,2022-04-13,男性,36〜45,B1,国外,不明,不明,Facebook
失注,2022-04-13,女性,31〜35,B1,日本,不明,不明,比較サイト
入会,2022-04-14,女性,36〜45,A2,日本,不明,不明,A8 その他
NS失注,2022-04-14,女性,不明,不明,不明,campaign_01ーorganicーorganic,不明,不明
失注,2022-04-14,女性,36〜45,TOEIC,日本,不明,不明,A8 その他
失注,2022-04-16,女性,36〜45,B1,日本,不明,不明,Instagram
失注,2022-04-16,女性,46〜60,A2,日本,不明,不明,A8 忍者英会話
入会,2022-04-17,男性,36〜45,B1,日本,不明,不明,検索
失注,2022-04-17,男性,不明,A2,日本,不明,不明,検索
入会,2022-04-17,男性,36〜45,B2,国外,不明,不明,その他
失注,2022-04-17,男性,31〜35,不明,日本,不明,不明,検索
入会,2022-04-18,男性,36〜45,B1,日本,不明,不明,検索
入会,2022-04-19,男性,36〜45,A2,日本,不明,不明,バイリンガール
入会,2022-04-20,男性,26〜30,A2,日本,不明,不明,検索
失注,2022-04-20,男性,31〜35,B1,日本,不明,不明,比較サイト
入会,2022-04-21,男性,46〜60,A1,日本,不明,不明,検索
失注,2022-04-21,男性,26〜30,B1,日本,不明,不明,A8 その他
NS失注,2022-04-21,女性,不明,不明,不明,不明,不明,不明
失注,2022-04-21,男性,36〜45,B2,日本,不明,不明,その他
入会,2022-04-21,女性,46〜60,TOEIC,日本,不明,不明,比較サイト
NS失注,2022-04-21,男性,31〜35,不明,日本,不明,不明,比較サイト
失注,2022-04-23,男性,46〜60,TOEIC,日本,不明,不明,A8 本気の英会話
NS失注,2022-04-24,女性,不明,不明,不明,不明,不明,不明
入会,2022-04-24,男性,36〜45,B2,日本,不明,不明,受講生紹介
失注,2022-04-24,男性,36〜45,B1,日本,不明,不明,Facebook
失注,2022-04-24,女性,不明,A2,日本,不明,不明,受講生紹介
入会,2022-04-26,男性,36〜45,B2,日本,不明,不明,検索
入会,2022-04-28,女性,31〜35,B2,国外,不明,不明,バイリンガール
入会,2022-04-28,女性,46〜60,A2,日本,不明,不明,バイリンガール
失注,2022-04-28,男性,46〜60,B1,日本,不明,不明,A8 その他
失注,2022-04-28,男性,46〜60,A1,日本,不明,不明,バイリンガール
失注,2022-04-29,女性,31〜35,TOEIC,日本,不明,不明,Instagram
NS失注,2022-04-29,女性,不明,不明,不明,不明,不明,不明
入会,2022-04-30,男性,36〜45,B2,日本,campaign_01ーorganicーorganic,不明,受講生紹介
失注,2022-04-30,男性,31〜35,B1,日本,不明,不明,検索
入会,2022-04-30,男性,31〜35,A2,日本,不明,不明,検索
NS失注,2022-06-01,女性,不明,不明,不明,不明,不明,不明
失注,2022-06-01,女性,26〜30,B1,国外,不明,不明,バイリンガール
入会,2022-06-02,男性,26〜30,A2,日本,不明,不明,検索
入会,2022-06-04,女性,26〜30,B1,日本,不明,不明,A8 忍者英会話
入会,2022-06-04,男性,36〜45,B1,国外,不明,不明,A8 その他
失注,2022-06-07,女性,46〜60,B1,国外,不明,不明,検索
入会,2022-06-08,女性,46〜60,TOEIC,日本,不明,不明,検索
失注,2022-06-09,女性,36〜45,A2,日本,不明,不明,バイリンガール
失注,2022-06-11,男性,36〜45,A2,日本,不明,不明,A8 忍者英会話
失注,2022-06-12,女性,46〜60,TOEIC,日本,不明,不明,検索
入会,2022-06-12,女性,10代前半,B1,国外,不明,不明,A8 忍者英会話
入会,2022-06-12,男性,36〜45,A2,日本,不明,不明,検索
入会,2022-06-12,男性,46〜60,A2,日本,不明,不明,A8 忍者英会話
入会,2022-06-14,女性,31〜35,A2,日本,不明,不明,バイリンガール
失注,2022-06-14,女性,46〜60,TOEIC,日本,不明,不明,A8 本気の英会話
入会,2022-06-19,男性,31〜35,B1,日本,不明,不明,受講生紹介
失注,2022-06-19,女性,46〜60,A2,日本,不明,不明,A8 その他
NS失注,2022-06-23,男性,不明,不明,不明,不明,不明,不明
失注,2022-06-24,男性,26〜30,B1,日本,不明,不明,検索
失注,2022-06-24,女性,18〜25,A1,日本,不明,不明,バイリンガール
失注,2022-06-26,男性,36〜45,A2,日本,不明,不明,Instagram
入会,2022-06-27,男性,36〜45,B1,日本,不明,不明,A8 その他
NS失注,2022-06-27,女性,36〜45,不明,日本,不明,不明,不明
NS失注,2022-06-29,女性,不明,不明,日本,不明,不明,不明
入会,2022-06-29,男性,36〜45,A2,日本,不明,不明,バイリンガール
失注,2022-06-29,男性,46〜60,A2,日本,不明,不明,検索
入会,2022-06-30,女性,36〜45,B1,日本,不明,不明,バイリンガール
NS失注,2022-07-02,女性,不明,不明,日本,不明,不明,A8 その他
失注,2022-07-02,女性,46〜60,A2,日本,不明,不明,検索
失注,2022-07-02,女性,31〜35,B2,日本,不明,不明,検索
失注,2022-07-03,男性,46〜60,TOEIC,日本,不明,不明,検索
失注,2022-07-03,女性,26〜30,A2,日本,不明,不明,比較サイト
失注,2022-07-03,男性,31〜35,TOEIC,日本,不明,不明,検索
失注,2022-07-04,女性,46〜60,B2,日本,不明,不明,Instagram
失注,2022-07-09,男性,36〜45,TOEIC,日本,不明,不明,検索
失注,2022-07-09,女性,26〜30,A1,日本,不明,不明,検索
入会,2022-07-10,女性,36〜45,TOEIC,日本,不明,不明,検索
入会,2022-07-10,女性,31〜35,TOEIC,日本,不明,不明,検索
入会,2022-07-12,男性,26〜30,B1,日本,不明,不明,検索
失注,2022-07-12,女性,36〜45,B1,日本,不明,不明,検索
NS失注,2022-07-13,男性,不明,不明,日本,不明,不明,不明
失注,2022-07-14,男性,26〜30,TOEIC,日本,不明,不明,比較サイト
失注,2022-07-14,男性,46〜60,TOEIC,日本,不明,不明,Facebook
入会,2022-07-16,男性,36〜45,B1,日本,不明,不明,検索
入会,2022-07-16,女性,36〜45,A2,国外,不明,不明,検索
入会,2022-07-17,女性,26〜30,B2,国外,不明,不明,受講生紹介
失注,2022-07-17,女性,36〜45,B1,日本,不明,不明,検索
失注,2022-07-20,女性,46〜60,B1,日本,不明,不明,バイリンガール
入会,2022-07-23,男性,31〜35,B1,日本,不明,不明,その他
NS失注,2022-07-23,女性,不明,不明,日本,不明,不明,不明
NS失注,2022-07-23,女性,不明,不明,日本,不明,不明,不明
失注,2022-07-26,男性,26〜30,TOEIC,日本,不明,不明,A8 本気の英会話
入会,2022-07-27,男性,61以上,B2,日本,不明,不明,A8 その他
失注,2022-07-27,男性,31〜35,B1,日本,不明,不明,A8 本気の英会話
入会,2022-07-29,女性,36〜45,B1,日本,不明,不明,検索
入会,2022-07-29,女性,31〜35,TOEIC,日本,不明,不明,検索
入会,2022-07-30,女性,36〜45,TOEIC,日本,不明,不明,比較サイト
入会,2022-07-30,男性,36〜45,B1,国外,不明,不明,A8 忍者英会話
入会,2022-07-31,男性,36〜45,A1,日本,不明,不明,バイリンガール
入会,2022-08-06,女性,46〜60,A2,国外,不明,不明,検索
入会,2022-08-06,女性,36〜45,A2,日本,不明,不明,Instagram
入会,2022-08-06,男性,31〜35,B2,国外,不明,不明,A8 忍者英会話
NS失注,2022-08-07,不明,不明,不明,不明,不明,不明,不明
失注,2022-08-07,男性,36〜45,B1,日本,不明,不明,比較サイト
失注,2022-08-07,男性,26〜30,B1,日本,不明,不明,検索
入会,2022-08-09,男性,36〜45,A2,日本,不明,不明,A8 その他
入会,2022-08-09,女性,36〜45,B1,日本,不明,不明,検索
入会,2022-08-10,女性,31〜35,A2,日本,不明,不明,タビケン留学
失注,2022-08-12,女性,46〜60,B1,日本,不明,不明,その他
失注,2022-08-13,女性,46〜60,B2,日本,不明,不明,A8 忍者英会話
失注,2022-08-13,女性,26〜30,TOEIC,日本,不明,不明,A8 その他
NS失注,2022-08-14,男性,36〜45,不明,不明,不明,不明,不明
入会,2022-08-16,女性,36〜45,B1,国外,不明,不明,比較サイト
失注,2022-08-17,男性,18〜25,A1,日本,不明,不明,検索
NS失注,2022-08-17,男性,不明,不明,日本,不明,不明,不明
NS失注,2022-08-20,男性,36〜45,不明,不明,不明,不明,不明
入会,2022-08-20,女性,46〜60,A2,日本,不明,不明,Instagram
失注,2022-08-20,男性,46〜60,TOEIC,日本,不明,不明,検索
失注,2022-08-21,女性,31〜35,A2,日本,不明,不明,受講生紹介
失注,2022-08-21,女性,31〜35,B2,日本,不明,不明,検索
NS失注,2022-08-24,女性,不明,不明,国外,不明,不明,不明
失注,2022-08-24,女性,26〜30,A1,日本,不明,不明,比較サイト
失注,2022-08-24,女性,61以上,B1,日本,不明,不明,比較サイト
NS失注,2022-08-26,女性,不明,TOEIC,日本,不明,不明,不明
入会,2022-08-26,女性,36〜45,A1,日本,不明,不明,比較サイト
NS失注,2022-08-26,女性,不明,不明,日本,不明,不明,不明
入会,2022-08-28,男性,36〜45,B1,日本,不明,不明,比較サイト
失注,2022-08-28,女性,31〜35,A1,国外,不明,不明,比較サイト
NS失注,2022-08-28,女性,不明,不明,日本,不明,不明,不明
NS失注,2022-08-30,女性,36〜45,不明,不明,不明,不明,不明
入会,2022-08-31,女性,26〜30,A2,日本,不明,不明,検索
入会,2022-08-31,女性,36〜45,B1,国外,不明,不明,検索
失注,2022-09-03,女性,31〜35,B1,日本,不明,不明,比較サイト
失注,2022-09-03,女性,26〜30,B1,日本,不明,不明,バイリンガール
失注,2022-09-03,男性,26〜30,B1,日本,不明,不明,比較サイト
失注,2022-09-04,女性,61以上,TOEIC,日本,不明,不明,比較サイト
入会,2022-09-06,男性,46〜60,B1,日本,不明,不明,検索
入会,2022-09-07,男性,36〜45,B1,日本,不明,不明,比較サイト
失注,2022-09-07,女性,46〜60,A2,日本,不明,不明,バイリンガール
入会,2022-09-11,女性,36〜45,A1,日本,不明,不明,タビケン留学
入会,2022-09-11,女性,36〜45,B1,日本,不明,不明,比較サイト
失注,2022-09-11,男性,46〜60,TOEIC,日本,不明,不明,検索
失注,2022-09-13,男性,18〜25,TOEIC,日本,不明,不明,検索
失注,2022-09-14,男性,36〜45,A2,国外,不明,不明,検索
失注,2022-09-17,女性,31〜35,B1,日本,不明,不明,バイリンガール
失注,2022-09-17,女性,31〜35,A2,日本,不明,不明,バイリンガール
失注,2022-09-17,女性,36〜45,B1,日本,不明,不明,A8 忍者英会話
入会,2022-09-18,男性,31〜35,B1,日本,不明,不明,バイリンガール
失注,2022-09-18,男性,31〜35,B1,日本,不明,不明,検索
入会,2022-09-20,女性,36〜45,B1,日本,不明,不明,検索
失注,2022-09-20,女性,36〜45,A2,日本,不明,不明,比較サイト
失注,2022-09-20,女性,26〜30,A1,日本,不明,不明,検索
失注,2022-09-21,女性,46〜60,A1,日本,不明,不明,比較サイト
失注,2022-09-21,女性,46〜60,B1,日本,不明,不明,検索
入会,2022-09-23,男性,46〜60,A2,日本,不明,不明,A8 本気の英会話
失注,2022-09-23,男性,46〜60,B1,日本,不明,不明,A8 忍者英会話
失注,2022-09-23,男性,26〜30,A2,日本,不明,不明,A8 忍者英会話
失注,2022-09-23,男性,26〜30,A2,日本,不明,不明,その他
失注,2022-09-23,男性,26〜30,A1,日本,不明,不明,比較サイト
入会,2022-09-28,男性,36〜45,B1,国外,不明,不明,検索
失注,2022-09-30,女性,31〜35,TOEIC,日本,不明,不明,比較サイト
入会,2022-09-30,男性,36〜45,B1,日本,不明,不明,検索
NS失注,2022-09-30,男性,不明,不明,日本,不明,不明,不明
入会,2022-10-01,女性,36〜45,A1,日本,不明,不明,バイリンガール
入会,2022-10-01,男性,46〜60,A2,日本,不明,不明,その他
入会,2022-10-04,女性,26〜30,A1,日本,不明,不明,タビケン留学
失注,2022-10-04,男性,46〜60,A2,国外,不明,不明,検索
入会,2022-10-07,男性,46〜60,B1,日本,不明,不明,検索
失注,2022-10-07,男性,31〜35,A1,日本,campaign_01ーorganicーorganic,不明,A8 忍者英会話
入会,2022-10-08,女性,36〜45,B1,日本,不明,不明,タビケン留学
NS失注,2022-10-08,男性,不明,不明,日本,不明,不明,不明
入会,2022-10-09,女性,31〜35,B1,国外,不明,不明,A8 忍者英会話
失注,2022-10-11,女性,31〜35,B1,日本,不明,不明,検索
失注,2022-10-12,女性,36〜45,A1,日本,不明,不明,検索
失注,2022-10-14,女性,36〜45,B2,日本,不明,不明,検索
入会,2022-10-14,女性,31〜35,B1,日本,不明,不明,検索
失注,2022-10-18,男性,46〜60,B1,日本,不明,不明,A8 忍者英会話
NS失注,2022-10-19,女性,46〜60,不明,日本,不明,不明,A8 忍者英会話
失注,2022-10-23,女性,36〜45,TOEIC,日本,不明,不明,Facebook
入会,2022-10-24,男性,31〜35,A2,日本,不明,不明,A8 忍者英会話
入会,2022-10-24,男性,36〜45,B1,日本,不明,不明,A8 その他
入会,2022-10-26,女性,46〜60,A2,日本,不明,不明,バイリンガール
失注,2022-10-26,女性,36〜45,A2,国外,不明,不明,A8 本気の英会話
失注,2022-10-28,男性,36〜45,B1,日本,不明,不明,検索
失注,2022-10-28,女性,36〜45,B1,日本,不明,不明,A8 その他
失注,2022-10-30,男性,36〜45,A2,日本,不明,不明,Facebook
入会,2022-10-30,女性,31〜35,B1,日本,不明,不明,受講生紹介
入会,2022-11-01,男性,31〜35,B2,日本,不明,不明,検索
失注,2022-11-02,男性,18〜25,B1,日本,不明,不明,バイリンガール
入会,2022-11-02,女性,46〜60,A2,日本,不明,不明,その他
NS失注,2022-11-02,女性,不明,不明,日本,不明,不明,A8 その他
入会,2022-11-06,男性,31〜35,B1,国外,不明,不明,A8 その他
入会,2022-11-06,女性,26〜30,A2,日本,不明,不明,A8 その他
入会,2022-11-08,男性,46〜60,B1,国外,不明,不明,A8 その他
失注,2022-11-08,男性,31〜35,B1,日本,不明,不明,A8 その他
入会,2022-11-09,女性,31〜35,A1,日本,不明,不明,バイリンガール
入会,2022-11-09,男性,36〜45,B2,日本,不明,不明,検索
入会,2022-11-11,男性,26〜30,A2,日本,不明,不明,検索
失注,2022-11-11,男性,36〜45,B2,日本,不明,不明,A8 その他
失注,2022-11-12,女性,46〜60,B1,日本,不明,不明,Instagram
入会,2022-11-13,男性,31〜35,B1,日本,不明,不明,A8 忍者英会話
入会,2022-11-13,女性,46〜60,B1,日本,不明,不明,検索
入会,2022-11-16,男性,46〜60,A1,日本,不明,不明,Instagram
失注,2022-11-18,女性,31〜35,A2,日本,不明,不明,Instagram
入会,2022-11-18,女性,46〜60,A2,日本,不明,不明,検索
入会,2022-11-18,男性,36〜45,B1,日本,不明,不明,検索
